feature,importance
vibration_z_g_mean,0.0073366987
vibration_z_g_peak,0.0073231468
temp_c_mean,0.0072202027
vibration_z_g_impulse_factor,0.0071760907
back_emf_spread,0.0067387290
vibration_z_g_bp_impulse_factor,0.0067343049
vibration_z_g_bp_shape_factor,0.0067073084
phase_u_current_a_min,0.0066027565
vibration_x_g_bandpower_ratio_2_10hz,0.0065978395
vibration_x_g_shape_factor,0.0062247264
vibration_xyz_rms_sum,0.0060939342
vibration_x_g_fft_dominant_amp,0.0060409109
vibration_mag_bp_peak,0.0060395174
vibration_mag_bp_crest_factor,0.0059049242
vibration_mag_bp_bandpower_30_60hz,0.0058620732
vibration_y_g_shaft_harmonic_power,0.0057093499
vibration_x_g_bp_crest_factor,0.0055928794
battery_current_a_std,0.0049331479
vibration_x_g_fft_bandwidth_hz,0.0046783043
vibration_x_g_shaft_harmonic_ratio,0.0045430770
vibration_y_g_skew,0.0045352943
vibration_mag_bp_kurtosis,0.0044571409
phase_v_current_a_std,0.0042832502
vibration_y_g_shaft_harmonic_ratio,0.0042577988
vibration_z_g_fft_total_power,0.0042501696
vibration_x_g_bp_ptp,0.0041398827
vibration_y_g_shape_factor,0.0039241969
vibration_mag_bp_fft_total_power,0.0039206366
vibration_z_g_shaft_harmonic_power,0.0038839846
vibration_x_g_fft_dominant_hz,0.0038164934
vibration_mag_bp_bandpower_60_120hz,0.0037291622
vibration_y_g_fft_rolloff85_hz,0.0035636238
vibration_y_g_bp_kurtosis,0.0035113564
vibration_x_g_shaft_harmonic_power,0.0033442208
vibration_x_g_bp_std,0.0033199812
vibration_x_g_bp_skew,0.0030141360
vibration_x_g_bp_rms,0.0029454269
vibration_mag_bp_bandpower_10_30hz,0.0027906023
vibration_z_g_crest_factor,0.0027797589
battery_current_a_range,0.0027484116
temp_c_max,0.0026043813
vibration_x_g_dominant_to_shaft_ratio,0.0024350089
vibration_y_g_bandpower_ratio_120_200hz,0.0022933175
vibration_mag_bp_shaft_harmonic_ratio,0.0022652361
vibration_x_g_fft_centroid_hz,0.0022594484
vibration_mag_bp_bandpower_120_200hz,0.0021212403
vibration_x_g_bandpower_120_200hz,0.0020672972
vibration_y_g_fft_dominant_amp,0.0020614334
vibration_y_g_bp_ptp,0.0018431681
phase_v_current_a_min,0.0018055640
vibration_x_g_fft_rolloff85_hz,0.0017035370
battery_current_a_max,0.0016097188
vibration_z_g_fft_dominant_hz,0.0013739371
vibration_y_g_bandpower_60_120hz,0.0013682998
vibration_x_g_skew,0.0012858595
temp_per_kw,0.0012479033
vibration_mag_bp_bandpower_ratio_120_200hz,0.0012335278
vibration_z_g_fft_rolloff85_hz,0.0012063816
vibration_x_g_bp_impulse_factor,0.0011355482
back_emf_imbalance_ratio,0.0011209195
vibration_z_g_dominant_to_shaft_ratio,0.0011086109
vibration_z_g_bp_crest_factor,0.0010931751
vibration_mag_bp_shape_factor,0.0010439279
temp_c_min,0.0010323568
phase_v_current_a_max,0.0009703720
vibration_y_g_bp_skew,0.0008799194
vibration_y_g_ptp,0.0008714194
phase_v_current_a_range,0.0008623736
power_w_slope,0.0008319495
vibration_x_g_bandpower_ratio_120_200hz,0.0008033469
phase_w_current_a_max,0.0007676171
vibration_y_g_fft_bandwidth_hz,0.0007574364
vibration_mag_bp_bandpower_ratio_10_30hz,0.0007440211
vibration_z_g_bandpower_ratio_30_60hz,0.0007172475
phase_w_current_a_std,0.0007154357
vibration_y_g_bp_crest_factor,0.0007144059
vibration_z_g_bandpower_60_120hz,0.0006737624
vibration_y_g_peak,0.0006450500
vibration_mag_bp_dominant_to_shaft_ratio,0.0006400420
battery_voltage_v_range,0.0006385516
vibration_y_g_fft_total_power,0.0006172601
vibration_mag_bp_fft_dominant_hz,0.0005975352
vibration_z_g_bandpower_10_30hz,0.0005955563
vibration_mag_bp_slope,0.0005486739
battery_voltage_v_std,0.0005469718
vibration_y_g_bandpower_ratio_2_10hz,0.0005276309
vibration_y_g_bp_impulse_factor,0.0005156170
vibration_y_g_bandpower_ratio_10_30hz,0.0004986371
vibration_x_g_bandpower_ratio_60_120hz,0.0004928239
vibration_z_g_bp_mean,0.0004690414
phase_u_back_emf_v_std,0.0004613058
back_emf_mean_u,0.0004534271
vibration_mag_bp_fft_bandwidth_hz,0.0004450261
vibration_x_g_fft_total_power,0.0004229679
vibration_mag_bp_shaft_harmonic_power,0.0004144975
vibration_mag_bp_bandpower_2_10hz,0.0004107992
phase_w_current_a_slope,0.0004089305
phase_v_back_emf_v_slope,0.0003877119
phase_current_mean_v,0.0003741924
phase_u_back_emf_v_range,0.0003600047
phase_u_back_emf_v_mean,0.0003222408
vibration_y_g_bandpower_ratio_30_60hz,0.0003131182
battery_voltage_v_max,0.0003068990
vibration_y_g_crest_factor,0.0002775514
phase_v_current_a_mean,0.0002634450
phase_current_imbalance_ratio,0.0002587914
vibration_y_g_bandpower_120_200hz,0.0002546436
phase_u_back_emf_v_max,0.0002544125
vibration_y_g_bandpower_30_60hz,0.0002289002
power_w_range,0.0002102377
power_w_mean,0.0002026649
phase_u_back_emf_v_min,0.0001962383
vibration_y_g_bp_std,0.0001943216
vibration_mag_bp_bandpower_ratio_2_10hz,0.0001837521
vibration_mag_bp_fft_centroid_hz,0.0001833836
vibration_z_g_bandpower_ratio_10_30hz,0.0001802187
phase_current_wu_delta,0.0001727127
vibration_x_g_bandpower_10_30hz,0.0001585418
vibration_y_g_mean,0.0001563648
vibration_x_g_slope,0.0001560903
vibration_x_g_bp_mean,0.0001541705
phase_w_back_emf_v_std,0.0001528437
phase_w_back_emf_v_max,0.0001480588
battery_voltage_v_min,0.0001460220
phase_w_back_emf_v_mean,0.0001440903
vibration_z_g_bandpower_2_10hz,0.0001415589
phase_v_back_emf_v_range,0.0001404910
phase_u_back_emf_v_slope,0.0001391565
vibration_z_g_fft_centroid_hz,0.0001372895
vibration_mag_bp_fft_rolloff85_hz,0.0001305270
vibration_x_g_bandpower_60_120hz,0.0001285283
rpm_max,0.0001152524
vibration_y_g_slope,0.0001141396
phase_w_back_emf_v_min,0.0001049709
vibration_mag_bp_bandpower_ratio_30_60hz,0.0000999975
phase_u_current_a_slope,0.0000954197
phase_v_back_emf_v_min,0.0000932119
rpm_mean,0.0000915679
vibration_z_g_bp_skew,0.0000908483
vibration_mag_bp_bandpower_ratio_60_120hz,0.0000806606
vibration_y_g_fft_dominant_hz,0.0000787744
vibration_z_g_bandpower_120_200hz,0.0000745411
vibration_x_g_bandpower_2_10hz,0.0000729128
vibration_x_g_bandpower_ratio_30_60hz,0.0000721343
power_w_min,0.0000716596
vibration_z_g_bandpower_ratio_60_120hz,0.0000709242
phase_u_current_a_mean,0.0000689151
vibration_y_g_bandpower_ratio_60_120hz,0.0000620042
vibration_z_g_bp_slope,0.0000609065
battery_current_a_min,0.0000601404
vibration_z_g_bp_peak,0.0000589076
vibration_y_g_bp_slope,0.0000534673
battery_voltage_v_mean,0.0000528381
phase_w_back_emf_v_slope,0.0000474545
temp_c_range,0.0000471504
vibration_y_g_bp_rms,0.0000336827
back_emf_wu_delta,0.0000316579
rpm_min,0.0000299455
vibration_x_g_bp_slope,0.0000296818
back_emf_mean_w,0.0000259529
phase_w_current_a_range,0.0000259375
vibration_y_g_bp_mean,0.0000211020
phase_v_current_a_slope,0.0000180199
battery_current_a_slope,0.0000175790
vibration_z_g_slope,0.0000170431
vibration_z_g_bandpower_ratio_2_10hz,0.0000161636
vibration_z_g_bandpower_30_60hz,0.0000160949
vibration_y_g_bandpower_2_10hz,0.0000140118
rpm_slope,0.0000139563
vibration_z_g_bandpower_ratio_120_200hz,0.0000110658
phase_w_back_emf_v_range,0.0000102501
vibration_y_g_bp_peak,0.0000100054
vibration_x_g_bandpower_30_60hz,0.0000098746
battery_voltage_v_slope,0.0000091153
vibration_y_g_bandpower_10_30hz,0.0000067501
phase_current_spread,0.0000064754
vibration_y_g_dominant_to_shaft_ratio,0.0000037448
phase_current_vw_delta,0.0000036090
temp_c_slope,0.0000029592
phase_current_mean_w,0.0000022279
phase_v_back_emf_v_max,0.0000018865
phase_current_uv_delta,0.0000009500
phase_v_back_emf_v_std,0.0000005360
battery_current_a_mean,0.0000004838
phase_w_current_a_mean,0.0000001284
vibration_y_g_fft_centroid_hz,0.0000000000
phase_w_current_a_min,0.0000000000
power_w_max,0.0000000000
current_per_krpm,0.0000000000
phase_current_mean_u,0.0000000000
