feature,importance
vibration_x_g_std,0.0332742342
phase_current_rms_imbalance_ratio,0.0300607401
back_emf_rms_spread,0.0298934689
back_emf_rms_imbalance_ratio,0.0268557709
vibration_y_g_std,0.0220728582
power_w_std,0.0219635837
phase_current_rms_spread,0.0209893776
rpm_std,0.0176217801
vibration_x_g_ptp,0.0173736454
vibration_mag_bp_skew,0.0165407850
vibration_y_g_rms,0.0164018057
vibration_mag_bp_rms,0.0163935964
vibration_x_g_crest_factor,0.0152707233
vibration_z_g_bp_rms,0.0147881322
vibration_x_g_bp_peak,0.0143306108
vibration_z_g_bp_kurtosis,0.0143082080
vibration_z_g_ptp,0.0140326304
vibration_z_g_std,0.0135856775
vibration_y_g_kurtosis,0.0131747469
phase_v_back_emf_v_mean,0.0129617677
vibration_x_g_peak,0.0128555529
vibration_xy_ratio,0.0124551809
vibration_z_g_bp_std,0.0122984682
rpm_range,0.0120842794
vibration_xz_ratio,0.0120745341
vibration_y_g_impulse_factor,0.0120486458
vibration_z_g_bp_ptp,0.0119912893
vibration_mag_bp_ptp,0.0119047308
vibration_mag_bp_std,0.0119009860
vibration_z_g_rms,0.0117488573
vibration_mag_bp_mean,0.0112150542
vibration_z_g_fft_dominant_amp,0.0110315708
vibration_mag_bp_impulse_factor,0.0110146121
back_emf_uv_delta,0.0110130916
back_emf_mean_v,0.0107959458
phase_u_current_a_max,0.0104266708
vibration_x_g_kurtosis,0.0104123421
vibration_mag_bp_fft_dominant_amp,0.0103752158
vibration_x_g_impulse_factor,0.0101726706
electrical_mechanical_stress,0.0095119896
vibration_z_g_shape_factor,0.0095060698
vibration_z_g_kurtosis,0.0093515448
vibration_x_g_bp_shape_factor,0.0091221487
temp_c_std,0.0089424203
vibration_z_g_skew,0.0085989369
vibration_z_g_fft_bandwidth_hz,0.0085822176
vibration_x_g_bandpower_ratio_10_30hz,0.0085661626
back_emf_vw_delta,0.0081274881
vibration_x_g_bp_kurtosis,0.0080806782
vibration_x_g_rms,0.0078545322
phase_u_current_a_range,0.0076342896
vibration_x_g_mean,0.0074964171
vibration_z_g_shaft_harmonic_ratio,0.0074660630
vibration_y_g_bp_shape_factor,0.0074458248
phase_u_current_a_std,0.0073556098
