feature,importance
vibration_z_g_bandpower_120_200hz,0.0001494971
battery_voltage_v_range,0.0001424394
vibration_x_g_bandpower_ratio_120_200hz,0.0001394969
vibration_z_g_bandpower_2_10hz,0.0001190611
vibration_mag_bp_bandpower_30_60hz,0.0000985897
vibration_mag_bp_bandpower_2_10hz,0.0000846683
phase_current_mean_v,0.0000577260
power_w_min,0.0000290383
vibration_mag_bp_fft_total_power,0.0000197984
vibration_z_g_fft_centroid_hz,0.0000000000
vibration_z_g_fft_rolloff85_hz,0.0000000000
vibration_y_g_bandpower_ratio_30_60hz,0.0000000000
vibration_y_g_bp_crest_factor,0.0000000000
vibration_y_g_bandpower_ratio_60_120hz,0.0000000000
vibration_y_g_bandpower_ratio_10_30hz,0.0000000000
vibration_y_g_bandpower_60_120hz,0.0000000000
vibration_y_g_bandpower_120_200hz,0.0000000000
vibration_y_g_bandpower_10_30hz,0.0000000000
vibration_y_g_fft_dominant_hz,0.0000000000
vibration_y_g_bp_ptp,0.0000000000
vibration_z_g_shaft_harmonic_power,0.0000000000
vibration_z_g_impulse_factor,0.0000000000
vibration_z_g_peak,0.0000000000
vibration_z_g_rms,0.0000000000
vibration_z_g_std,0.0000000000
vibration_z_g_skew,0.0000000000
vibration_z_g_bandpower_ratio_2_10hz,0.0000000000
vibration_z_g_bandpower_ratio_120_200hz,0.0000000000
vibration_z_g_bp_slope,0.0000000000
vibration_z_g_bandpower_30_60hz,0.0000000000
vibration_y_g_skew,0.0000000000
vibration_y_g_shaft_harmonic_power,0.0000000000
vibration_y_g_shaft_harmonic_ratio,0.0000000000
vibration_y_g_mean,0.0000000000
vibration_x_g_bandpower_ratio_60_120hz,0.0000000000
vibration_x_g_crest_factor,0.0000000000
vibration_x_g_slope,0.0000000000
vibration_x_g_fft_dominant_hz,0.0000000000
vibration_x_g_shaft_harmonic_ratio,0.0000000000
vibration_x_g_shape_factor,0.0000000000
vibration_y_g_fft_bandwidth_hz,0.0000000000
vibration_y_g_dominant_to_shaft_ratio,0.0000000000
vibration_y_g_bp_mean,0.0000000000
phase_w_current_a_min,0.0000000000
power_w_max,0.0000000000
power_w_mean,0.0000000000
phase_w_current_a_mean,0.0000000000
vibration_mag_bp_fft_bandwidth_hz,0.0000000000
vibration_mag_bp_bandpower_ratio_60_120hz,0.0000000000
vibration_mag_bp_bandpower_ratio_2_10hz,0.0000000000
vibration_x_g_bandpower_30_60hz,0.0000000000
vibration_x_g_bandpower_60_120hz,0.0000000000
vibration_mag_bp_fft_rolloff85_hz,0.0000000000
vibration_x_g_bandpower_2_10hz,0.0000000000
rpm_max,0.0000000000
rpm_mean,0.0000000000
temp_c_range,0.0000000000
rpm_slope,0.0000000000
temp_per_kw,0.0000000000
temp_c_slope,0.0000000000
vibration_mag_bp_bandpower_ratio_10_30hz,0.0000000000
vibration_mag_bp_kurtosis,0.0000000000
vibration_mag_bp_dominant_to_shaft_ratio,0.0000000000
phase_w_back_emf_v_min,0.0000000000
phase_w_back_emf_v_mean,0.0000000000
phase_w_back_emf_v_max,0.0000000000
phase_current_vw_delta,0.0000000000
phase_current_wu_delta,0.0000000000
phase_u_back_emf_v_mean,0.0000000000
phase_u_back_emf_v_min,0.0000000000
phase_u_back_emf_v_std,0.0000000000
phase_u_back_emf_v_slope,0.0000000000
phase_u_current_a_mean,0.0000000000
phase_u_current_a_max,0.0000000000
phase_u_current_a_min,0.0000000000
phase_u_current_a_slope,0.0000000000
phase_w_back_emf_v_range,0.0000000000
phase_v_current_a_mean,0.0000000000
phase_v_back_emf_v_std,0.0000000000
phase_v_back_emf_v_slope,0.0000000000
phase_v_back_emf_v_range,0.0000000000
phase_v_back_emf_v_min,0.0000000000
phase_w_back_emf_v_slope,0.0000000000
phase_w_back_emf_v_std,0.0000000000
current_per_krpm,0.0000000000
battery_voltage_v_std,0.0000000000
phase_current_uv_delta,0.0000000000
phase_current_spread,0.0000000000
phase_current_mean_u,0.0000000000
phase_current_imbalance_ratio,0.0000000000
battery_voltage_v_max,0.0000000000
battery_current_a_max,0.0000000000
battery_current_a_mean,0.0000000000
battery_current_a_range,0.0000000000
back_emf_wu_delta,0.0000000000
back_emf_mean_w,0.0000000000
back_emf_mean_v,0.0000000000
back_emf_mean_u,0.0000000000
